,number_of_qubits,qft_variant,process_fidelity
383,40,QCTRLFowlerQFT,0.0004469209243172418
384,40,QCTRLFowlerQFT,0.0005581121389869453
385,40,QCTRLFowlerQFT,0.0004633534125349993
386,40,QCTRLFowlerQFT,0.0004229375316377067
387,40,QCTRLFowlerQFT,0.0006870041128587945
388,40,QCTRLFowlerQFT,0.0012865818880305009
389,40,QCTRLFowlerQFT,0.0005445642085713564
390,40,QCTRLFowlerQFT,0.0006744548611075038
391,40,QCTRLFowlerQFT,0.00033013333417215797
392,40,QCTRLFowlerQFT,0.0004931653589888082
393,40,QCTRLFowlerQFT,0.0005787675150475602
394,40,QCTRLFowlerQFT,0.0006412538582100607
395,40,QCTRLFowlerQFT,0.0010076678444651663
396,40,QCTRLFowlerQFT,0.0008792099196468069
397,40,QCTRLFowlerQFT,0.0010273619362143552
398,40,QCTRLFowlerQFT,0.0005637905831619224
399,40,QCTRLFowlerQFT,0.0007191753279395308
400,42,QCTRLFowlerQFT,0.0001592247443172391
401,42,QCTRLFowlerQFT,0.00010717213611723734
402,42,QCTRLFowlerQFT,4.780215188996687e-05
403,42,QCTRLFowlerQFT,3.058713835828729e-05
404,42,QCTRLFowlerQFT,-2.853163611803959e-22
405,42,QCTRLFowlerQFT,0.0001532173807951671
406,42,QCTRLFowlerQFT,3.6700782453221875e-05
407,42,QCTRLFowlerQFT,1.7795126520891442e-05
408,42,QCTRLFowlerQFT,0.0
409,42,QCTRLFowlerQFT,4.081680182071807e-05
410,42,QCTRLFowlerQFT,0.00011197320335867318
411,42,QCTRLFowlerQFT,6.210102465177307e-06
412,42,QCTRLFowlerQFT,0.00012868546092734064
413,42,QCTRLFowlerQFT,0.0002127589203351515
414,42,QCTRLFowlerQFT,0.00014065252356265117
415,42,QCTRLFowlerQFT,1.7795126520891442e-05
416,42,QCTRLFowlerQFT,7.870464397510924e-06
417,42,QCTRLFowlerQFT,0.00018557955090556862
418,42,QCTRLFowlerQFT,-2.282530889443167e-21
419,42,QCTRLFowlerQFT,7.852699489335444e-05
420,44,QCTRLFowlerQFT,0.00013926775967582484
421,44,QCTRLFowlerQFT,0.0003126051544542367
422,44,QCTRLFowlerQFT,0.000268598476833605
423,44,QCTRLFowlerQFT,0.00020254241496187904
424,44,QCTRLFowlerQFT,7.10464306301601e-05
425,44,QCTRLFowlerQFT,7.026024915164736e-05
426,44,QCTRLFowlerQFT,0.00030439494383149623
427,44,QCTRLFowlerQFT,0.00019553161240475894
428,44,QCTRLFowlerQFT,0.00016785908536721245
429,44,QCTRLFowlerQFT,5.278937007061152e-05
430,44,QCTRLFowlerQFT,0.0003116669062792976
431,44,QCTRLFowlerQFT,0.0001341327741746446
432,44,QCTRLFowlerQFT,5.2507093560560175e-05
433,44,QCTRLFowlerQFT,8.874915057874805e-05
434,44,QCTRLFowlerQFT,0.00020141203022955921
435,44,QCTRLFowlerQFT,6.677581880898558e-05
436,44,QCTRLFowlerQFT,0.0001919629732610721
437,44,QCTRLFowlerQFT,6.46270770220043e-05
438,44,QCTRLFowlerQFT,0.00011399492462849972
439,44,QCTRLFowlerQFT,6.798946882992195e-05
